	USD
938	30.4676
939	30.4382
940	30.4604
941	30.3819
942	30.3773
943	30.235
944	30.235
945	30.0552
946	30.2348
947	30.1235
948	30.1254
949	30.0741
950	30.0179
951	29.9319
952	29.9206
953	29.915
954	29.9156
955	30.0847
956	29.9335
957	29.8189
958	29.8584
959	29.9451
960	29.9441
961	29.8608
962	29.8124
963	29.8113
964	29.8113
965	29.804
966	29.8104
967	29.859
968	29.8186
969	29.7972
970	29.8004
971	29.7952
972	29.8084
973	29.7979
974	29.7356
975	29.736
976	29.736
977	29.7369
978	29.7387
979	29.7038
980	29.6995
981	29.695
982	29.6953
983	29.6322
984	29.5502
985	29.5529
986	29.5375
987	29.4394
988	29.3861
989	29.304
990	29.2522
991	29.2454
992	29.245
993	29.2719
994	29.245
995	29.245
996	29.245
997	29.2533
998	29.4545
999	29.4545
1000	29.4545
1001	29.4545
1002	29.245
1003	29.135
1004	28.9918
1005	28.8711
1006	28.8841
1007	28.8691
1008	28.8795
1009	28.8795
1010	28.7961
1011	28.7853
1012	28.8026
1013	28.6959
1014	28.5514
1015	28.4963
1016	28.5139
1017	28.485
1018	28.4916
1019	28.4937
1020	28.5252
1021	28.6205
1022	28.5281
1023	28.4906
1024	28.5744
1025	28.4939
1026	28.5048
1027	28.5312
1028	28.518
1029	28.518
1030	28.4949
1031	28.4878
1032	28.4851
1033	28.4959
1034	28.4934
1035	28.4931
1036	28.4973
1037	28.511
1038	28.5156
1039	28.5162
1040	28.5321
1041	28.5895
1042	28.6654
1043	28.6343
1044	28.5216
1045	28.5733
1046	28.5726
1047	28.5083
1048	28.5064
1049	28.5121
1050	28.534
1051	28.5005
1052	28.5045
1053	28.5121
1054	28.4855
1055	28.4852
1056	28.4979
1057	28.4891
1058	28.4886
1059	28.4853
1060	28.5151
1061	28.5024
1062	28.5095
1063	28.5385
1064	28.541
1065	28.5296
1066	28.5172
1067	28.5065
1068	28.5535
1069	28.5892
1070	28.6221
1071	28.6104
1072	28.6223
1073	28.6693
1074	28.7662
1075	28.9237
1076	28.98
1077	28.9671
1078	29.0033
1079	28.87
1080	28.8636
1081	28.8834
1082	28.9612
1083	28.8976
1084	28.873
1085	28.953
1086	28.9862
1087	29.0587
1088	29.0772
1089	29.0684
1090	29.0436
1091	28.9983
1092	28.9924
1093	28.9904
1094	28.9863
1095	28.9916
1096	28.9763
1097	28.9817
1098	28.985
1099	28.985
1100	28.9993
1101	29.0053
1102	29.0511
1103	29.0859
1104	29.0658
1105	29.0346
1106	29.0219
1107	29.0337
1108	29.0424
1109	29.0287
1110	29.02
1111	29.0199
1112	29.029
1113	29.0257
1114	29.017
1115	29.0206
1116	29.0243
1117	29.0218
1118	29.0256
1119	29.0242
1120	29.0274
1121	29.0471
1122	29.0388
1123	29.0409
1124	29.0356
1125	29.0402
1126	29.0639
1127	29.1019
1128	29.11
1129	29.1332
1130	29.1248
1131	29.1037
1132	29.077
1133	29.0908
1134	29.0805
1135	29.0815
1136	29.0882
1137	29.0891
1138	29.083
1139	29.0928
1140	29.0832
1141	29.0871
1142	29.0891
1143	29.1019
1144	29.1405
1145	29.1829
1146	29.1764
1147	29.1761
1148	29.1907
1149	29.2491
1150	29.2381
1151	29.2519
1152	29.276
1153	29.2579
1154	29.2229
1155	29.2152
1156	29.2176
1157	29.2325
1158	29.2199
1159	29.2178
1160	29.2208
1161	29.2225
1162	29.2226
1163	29.2289
1164	29.2447
1165	29.2591
1166	29.2552
1167	29.2322
1168	29.2307
1169	29.2183
1170	29.2187
1171	29.2239
1172	29.2173
1173	29.2166
1174	29.2151
1175	29.2162
1176	29.2151
1177	29.2187
1178	29.2214
1179	29.2154
1180	29.2165
1181	29.2172
1182	29.2146
1183	29.2151
1184	29.2164
1185	29.215
1186	29.2171
1187	29.2224
1188	29.2175
1189	29.2159
1190	29.219
1191	29.2215
1192	29.2204
1193	29.2218
1194	29.1272
1195	29.1152
1196	29.1199
1197	29.1154
1198	29.1151
1199	29.1191
1200	29.1175
1201	29.115
1202	29.1154
1203	28.9989
1204	28.8673
1205	28.7709
1206	28.7674
1207	28.7783
1208	28.7655
1209	28.7651
1210	28.7778
1211	28.7811
1212	28.765
1213	28.668
1214	28.6502
1215	28.6718
1216	28.6889
1217	28.6651
1218	28.6696
1219	28.6882
1220	28.6687
1221	28.5387
1222	28.5455
1223	28.5208
1224	28.5217
1225	28.4144
1226	28.3205
1227	28.2659
1228	28.2367
1229	28.1496
1230	28.0161
1231	27.9951
1232	27.9271
1233	27.8402
1234	27.8741
1235	27.9772
1236	28.0293
1237	28.1243
1238	27.9955
1239	27.9103
1240	27.8372
1241	27.8821
1242	27.8917
1243	27.8887
1244	27.8389
1245	27.8341
1246	27.8251
1247	27.7796
1248	27.775
1249	27.7487
1250	27.7487
1251	27.7487
1252	27.9549
1253	27.88
1254	27.8677
1255	27.9469
1256	27.9668
1257	28.1129
1258	28.1573
1259	28.1594
1260	28.1569
1261	28.0157
1262	27.9804
1263	28.1017
1264	28.0025
1265	28.0845
1266	28.1136
1267	27.9656
1268	27.9665
1269	28.0104
1270	27.9833
1271	28.1237
1272	28.1872
1273	28.133
1274	28.0853
1275	28.0688
1276	28.0306
1277	28.0207
1278	28.0016
1279	27.9998
1280	27.9359
1281	27.9365
1282	27.8312
1283	27.745
1284	27.7738
1285	27.7007
1286	27.7091
1287	27.699
1288	27.7245
1289	27.7518
1290	27.6698
1291	27.5562
1292	27.4637
1293	27.4629
1294	27.477
1295	27.4902
1296	27.489
1297	27.4611
1298	27.4827
1299	27.5442
1300	27.5764
1301	27.6381
1302	27.697
1303	27.7112
1304	27.8198
1305	27.8313
1306	27.8256
1307	27.8548
1308	27.8831
1309	27.8926
1310	27.9394
1311	27.8739
1312	27.8085
1313	27.8789
1314	27.7933
1315	27.765
1316	27.7907
1317	27.8291
1318	27.9031
1319	27.8222
1320	27.7543
1321	27.7241
1322	27.7074
1323	27.7304
1324	27.7463
1325	27.7586
1326	27.8055
1327	27.794
1328	27.7726
1329	27.8364
1330	27.7896
1331	27.7845
1332	27.7852
1333	27.816
1334	27.8677
1335	27.9237
1336	28.0223
1337	27.9929
1338	28.0055
1339	27.9608
1340	27.9719
1341	28.0619
1342	28.0327
1343	28.0367
1344	28.0638
1345	28.0813
1346	28.0919
1347	28.1946
1348	28.2885
1349	28.375
1350	28.3761
1351	28.429
1352	28.4133
1353	28.3766
1354	28.4457
1355	28.4671
1356	28.5658
1357	28.6237
1358	28.6024
1359	28.5841
1360	28.4765
1361	28.5497
1362	28.5528
1363	28.6193
1364	28.6787
1365	28.5802
1366	28.584
1367	28.6721
1368	28.6282
1369	28.6794
1370	28.8005
1371	28.8333
1372	28.8185
1373	28.831
1374	28.8374
1375	28.7154
1376	28.5938
1377	28.5678
1378	28.6679
1379	28.6269
1380	28.6726
1381	28.7252
1382	28.6744
1383	28.6012
1384	28.5792
1385	28.6898
1386	28.6888
1387	28.7304
1388	28.6817
1389	28.6341
1390	28.595
1391	28.5826
1392	28.604
1393	28.4854
1394	28.4171
1395	28.4355
1396	28.3791
1397	28.3931
1398	28.3788
1399	28.3122
1400	28.3815
1401	28.4161
1402	28.473
1403	28.4936
1404	28.6003
1405	28.5852
1406	28.5494
1407	28.5844
1408	28.4572
1409	28.4505
1410	28.4368
1411	28.545
1412	28.5566
1413	28.4637
1414	28.3037
1415	28.1977
1416	28.2108
1417	28.2015
1418	28.2562
1419	28.2517
1420	28.3566
1421	28.3856
1422	28.316
1423	28.3698
1424	28.3026
1425	28.4582
1426	28.4065
1427	28.3812
1428	28.3603
1429	28.432
1430	28.5463
1431	28.5678
1432	28.5366
1433	28.4989
1434	28.5348
1435	28.6132
1436	28.643
1437	28.6157
1438	28.5207
1439	28.4577
1440	28.4708
1441	28.5562
1442	28.625
1443	28.599
1444	28.5861
1445	28.5291
1446	28.614
1447	28.6715
1448	28.6219
1449	28.5666
1450	28.6248
1451	28.6087
1452	28.4633
1453	28.4793
1454	28.4244
1455	28.503
1456	28.581
1457	28.5805
1458	28.5544
1459	28.7593
1460	28.8389
1461	28.828
1462	28.8135
1463	28.879
1464	28.825
1465	28.8503
1466	28.838
1467	28.876
1468	28.8436
1469	28.7745
1470	28.8108
1471	28.7267
1472	28.741
1473	28.7896
1474	28.8698
1475	28.7312
1476	28.7792
1477	28.816
1478	28.9646
1479	28.9978
1480	28.9123
1481	28.9261
1482	28.9799
1483	28.9258
1484	28.8571
1485	28.7135
1486	28.661
1487	28.6892
1488	28.6523
1489	28.64
1490	28.6649
1491	28.7629
1492	28.84
1493	28.7799
1494	28.8059
1495	28.8177
1496	28.7472
1497	28.79
1498	28.7825
1499	28.4821
1500	28.4834
1501	28.3966
1502	28.474
1503	28.3007
1504	28.2697
1505	28.3023
1506	28.2863
1507	28.2909
1508	28.0512
1509	27.9898
1510	27.9805
1511	27.9698
1512	28.024
1513	28.1207
1514	28.1305
1515	28.1042
1516	28.1901
1517	28.1732
1518	28.2349
1519	28.2524
1520	28.2642
1521	28.2496
1522	28.2411
1523	28.2369
1524	28.1844
1525	28.1994
1526	28.2225
1527	28.2182
1528	28.1451
1529	28.1908
1530	28.1827
1531	28.155
1532	28.1223
1533	28.1211
1534	28.0245
1535	28.0279
1536	27.9305
1537	27.881
1538	27.9945
1539	28.0
1540	28.0203
1541	28.0079
1542	27.9929
1543	27.8432
1544	27.8171
1545	27.7028
1546	27.6615
1547	27.7027
1548	27.7383
1549	27.768
1550	27.847
1551	27.773
1552	27.8019
1553	27.8043
1554	27.7626
1555	27.6996
1556	27.7737
1557	27.6921
1558	27.5602
1559	27.5332
1560	27.6077
1561	27.7085
1562	27.6797
1563	27.6625
1564	27.6985
1565	27.7002
1566	27.6336
1567	27.5675
1568	27.465
1569	27.4666
1570	27.5198
1571	27.4331
1572	27.4244
1573	27.3921
1574	27.3621
1575	27.2739
1576	27.2424
1577	27.159
1578	27.2085
1579	27.1258
1580	27.0801
1581	27.0359
1582	27.0755
1583	26.9431
1584	26.9187
1585	27.0209
1586	26.9569
1587	27.0663
1588	26.9987
1589	27.0965
1590	26.9876
1591	27.0168
1592	27.0381
1593	27.0349
1594	27.0652
1595	26.984
1596	26.9355
1597	27.0474
1598	26.8868
1599	26.7089
1600	26.7331
1601	26.8582
